Date : 2023-05-06 00:17:06
Directory : c:\Users\leann\Documents\GitHub\legendary-octo-guide
Total : 179 files,  81803 codes, 21242 comments, 22815 blanks, all 125860 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         10 |     68,950 |     19,110 |     20,755 |    108,815 |
| PHP        |        162 |     11,575 |      2,132 |      1,976 |     15,683 |
| HTML       |          6 |      1,275 |          0 |         81 |      1,356 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\footer.php                         | PHP        |         20 |          0 |          0 |         20 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\header.php                         | PHP        |        141 |          0 |         21 |        162 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\simple-header.php                  | PHP        |         86 |          0 |         14 |        100 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\misc\support.php                        | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\underconstruction\index.html            | HTML       |        255 |          0 |         16 |        271 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\src\underconstruction\js\jquery-3.6.0.js    | JavaScript |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\index.php                                    | PHP        |         12 |          4 |          9 |         25 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\borrow\borrow-an-item.php              | PHP        |         89 |          7 |         18 |        114 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\borrow\my-borrowed-items.php           | PHP        |         27 |          2 |          6 |         35 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\howto\book-a-howto.php                 | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\howto\my-booked-howto.php              | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\repair\book-a-repair.php               | PHP        |        145 |         12 |         10 |        167 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\pages\repair\my-repair-sessions.php          | PHP        |         74 |          5 |          6 |         85 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\config.php                           | PHP        |         10 |         10 |          3 |         23 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\css.php                              | PHP        |          6 |          0 |          0 |          6 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\echo.php                             | PHP        |         13 |          2 |          4 |         19 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\js.php                               | PHP        |          7 |          0 |          0 |          7 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_item.php                         | PHP        |         20 |          6 |          6 |         32 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_repair.php                       | PHP        |         19 |          6 |          5 |         30 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\new_user.php                         | PHP        |         15 |          6 |          5 |         26 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\session.php                          | PHP        |          7 |          2 |          1 |         10 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\ssp.class.php                        | PHP        |        308 |        181 |         82 |        571 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\scripts\users.php                            | PHP        |         19 |         23 |          8 |         50 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\login.php                           | PHP        |        113 |         17 |         16 |        146 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\logout.php                          | PHP        |          7 |          4 |          3 |         14 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\register.php                        | PHP        |        141 |         20 |         19 |        180 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\auth\reset-password.php                  | PHP        |         89 |         15 |         13 |        117 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\account.php                         | PHP        |        153 |         12 |         16 |        181 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\adminheader.php                     | PHP        |        160 |          0 |         22 |        182 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\faq.php                             | PHP        |         24 |          2 |          6 |         32 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\footer.php                          | PHP        |         20 |          0 |          0 |         20 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\header.php                          | PHP        |        141 |          0 |         21 |        162 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\simple-header.php                   | PHP        |         86 |          0 |         14 |        100 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\misc\support.php                         | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\underconstruction\index.html             | HTML       |        255 |          0 |         16 |        271 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\cust\src\underconstruction\js\jquery-3.6.0.js     | JavaScript |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\README.md                                             | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\account.php                       | PHP        |        162 |         15 |         19 |        196 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\add-a-user.php                    | PHP        |        109 |          6 |         11 |        126 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\all-repair-sessions.php           | PHP        |        105 |          5 |          8 |        118 |
